year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,206,881,81.05
2005,1038,195,843,81.21
2006,1069,191,878,82.13
2007,1058,155,903,85.35
2008,1061,148,913,86.05
2009,1094,157,937,85.65
2010,1050,141,909,86.57
2011,1057,122,935,88.46
2012,1059,122,937,88.48
2013,1042,103,939,90.12
2014,1014,96,918,90.53
2015,1011,97,914,90.41
2016,1076,81,995,92.47
2017,1043,66,977,93.67
2018,1090,60,1030,94.50
2019,1038,59,979,94.32
2020,967,42,925,95.66
